id,timestamp,level,message,uuid,logger_name,raw_log,cluster_id,template,created_at
1,2026-07-29T20:53:34.994000,WARNING,User 4003 logged in,512471f5-f355-496e-88ad-9db965dc5093,60 root,"[2026-07-29 20:53:34,994] 60 root - WARNING - User 4003 logged in",1,User 4003 logged in,2026-07-29 15:23:46
2,2026-07-29T20:53:37.004000,WARNING,Worker 2 restarted,504b5c6e-d177-4b8a-afca-a4886218c3aa,60 root,"[2026-07-29 20:53:37,004] 60 root - WARNING - Worker 2 restarted",2,Worker 2 restarted,2026-07-29 15:23:46
3,2026-07-29T20:53:39.005000,INFO,Payment for Order 54535 failed,7e9f8990-8bdf-4f16-b2a1-eaebd4385ad4,60 root,"[2026-07-29 20:53:39,005] 60 root - INFO - Payment for Order 54535 failed",3,Payment for Order 54535 failed,2026-07-29 15:23:46
4,2026-07-29T20:53:41.006000,WARNING,Service auth restarted after 2 crashes,2aa3424f-a6de-44f9-acb1-bc5710abc4a2,60 root,"[2026-07-29 20:53:41,006] 60 root - WARNING - Service auth restarted after 2 crashes",4,Service auth restarted after 2 crashes,2026-07-29 15:23:46
5,2026-07-29T20:53:43.007000,ERROR,Connection from 192.168.1.232 accepted,23ae7c8f-4527-468a-87a8-99ad84595a97,60 root,"[2026-07-29 20:53:43,007] 60 root - ERROR - Connection from 192.168.1.232 accepted",5,Connection from 192.168.1.232 accepted,2026-07-29 15:23:46
7,2026-07-29T20:53:47.009000,WARNING,Memory usage reached 84%,8be97af0-2588-467d-b775-4257b5d85e45,60 root,"[2026-07-29 20:53:47,009] 60 root - WARNING - Memory usage reached 84%",6,Memory usage reached 84%,2026-07-29 15:23:48
8,2026-07-29T20:53:49.010000,WARNING,Database timeout after 34 seconds,8c038ee6-34ed-41e2-9e09-379ac61d5c55,60 root,"[2026-07-29 20:53:49,010] 60 root - WARNING - Database timeout after 34 seconds",7,Database timeout after 34 seconds,2026-07-29 15:23:50
9,2026-07-29T20:53:51.011000,ERROR,Worker 2 restarted,903aedf2-3d1c-4a21-b398-6311bc73b6b1,60 root,"[2026-07-29 20:53:51,011] 60 root - ERROR - Worker 2 restarted",2,Worker 2 restarted,2026-07-29 15:23:52
10,2026-07-29T20:53:53.012000,INFO,Connection from 192.168.1.152 accepted,b253af61-c6c3-4c93-9b8f-0348aed00199,60 root,"[2026-07-29 20:53:53,012] 60 root - INFO - Connection from 192.168.1.152 accepted",5,Connection from <*> accepted,2026-07-29 15:23:54
11,2026-07-29T20:53:55.013000,ERROR,User 1542 logged in,09f3c7e6-7a16-44ab-8c0f-bd4036adb88b,60 root,"[2026-07-29 20:53:55,013] 60 root - ERROR - User 1542 logged in",1,User <*> logged in,2026-07-29 15:23:56
12,2026-07-29T20:53:57.014000,INFO,User 6118 logged out,164fcee6-cab7-4c8f-a99d-06d5a2763a44,60 root,"[2026-07-29 20:53:57,014] 60 root - INFO - User 6118 logged out",1,User <*> logged <*>,2026-07-29 15:23:58
13,2026-07-29T20:53:59.015000,INFO,File report_13.pdf uploaded,758a7e0e-ced1-41a9-8f0c-50a09607d65d,60 root,"[2026-07-29 20:53:59,015] 60 root - INFO - File report_13.pdf uploaded",8,File report_13.pdf uploaded,2026-07-29 15:24:00
14,2026-07-29T20:54:01.016000,ERROR,CPU usage reached 76%,586213b3-f152-468a-affa-be472b45a1ab,60 root,"[2026-07-29 20:54:01,016] 60 root - ERROR - CPU usage reached 76%",9,CPU usage reached 76%,2026-07-29 15:24:02
15,2026-07-29T20:54:03.017000,INFO,Service auth restarted after 1 crashes,115306af-727f-4d27-865e-d4460224bcd0,60 root,"[2026-07-29 20:54:03,017] 60 root - INFO - Service auth restarted after 1 crashes",4,Service auth restarted after <*> crashes,2026-07-29 15:24:04
16,2026-07-29T20:54:05.018000,ERROR,Connection from 192.168.1.100 accepted,7a2eaacc-4b6f-4f15-91d6-ab3c5d651f60,60 root,"[2026-07-29 20:54:05,018] 60 root - ERROR - Connection from 192.168.1.100 accepted",5,Connection from <*> accepted,2026-07-29 15:24:06
17,2026-07-29T20:54:07.019000,ERROR,Memory usage reached 97%,57cbf771-3a17-4e78-aea1-92d055b41dc9,60 root,"[2026-07-29 20:54:07,019] 60 root - ERROR - Memory usage reached 97%",6,Memory usage reached <*>,2026-07-29 15:24:08
18,2026-07-29T20:54:09.019000,INFO,User 6046 logged out,349ae20f-fb4b-44fa-b52e-cb654fc239c0,60 root,"[2026-07-29 20:54:09,019] 60 root - INFO - User 6046 logged out",1,User <*> logged <*>,2026-07-29 15:24:10
19,2026-07-29T20:54:11.020000,WARNING,User 1127 logged out,a86b49b2-4c44-4358-b05d-2e4cc990aa43,60 root,"[2026-07-29 20:54:11,020] 60 root - WARNING - User 1127 logged out",1,User <*> logged <*>,2026-07-29 15:24:12
20,2026-07-29T20:54:13.021000,INFO,Payment for Order 46919 completed,56ae452c-8530-4d3e-90a3-0ece99ec55db,60 root,"[2026-07-29 20:54:13,021] 60 root - INFO - Payment for Order 46919 completed",3,Payment for Order <*> <*>,2026-07-29 15:24:14
21,2026-07-29T20:54:15.022000,INFO,Database timeout after 30 seconds,0c7b5d49-56b0-48e7-8802-9203e9eb34bc,60 root,"[2026-07-29 20:54:15,022] 60 root - INFO - Database timeout after 30 seconds",7,Database timeout after <*> seconds,2026-07-29 15:24:16
22,2026-07-29T20:54:17.023000,INFO,User 1184 logged out,942eb353-48f4-4da3-a9f5-a8155ee2cc7e,60 root,"[2026-07-29 20:54:17,023] 60 root - INFO - User 1184 logged out",1,User <*> logged <*>,2026-07-29 15:24:18
23,2026-07-29T20:54:19.024000,INFO,Request GET /api/orders took 679 ms,7de81444-6660-45fc-9248-e1898b15ae3c,60 root,"[2026-07-29 20:54:19,024] 60 root - INFO - Request GET /api/orders took 679 ms",10,Request GET /api/orders took 679 ms,2026-07-29 15:24:20
24,2026-07-29T20:54:21.031000,ERROR,Request POST /api/payment took 1065 ms,85b408f4-e815-4103-b8d5-5cc3c6e2f7f1,60 root,"[2026-07-29 20:54:21,031] 60 root - ERROR - Request POST /api/payment took 1065 ms",10,Request <*> <*> took <*> ms,2026-07-29 15:24:22
25,2026-07-29T20:54:23.032000,INFO,File report_439.pdf uploaded,696d18b6-52b2-4fef-ab79-cc443ba04d2f,60 root,"[2026-07-29 20:54:23,032] 60 root - INFO - File report_439.pdf uploaded",8,File <*> uploaded,2026-07-29 15:24:24
26,2026-07-29T20:54:25.033000,WARNING,Request POST /api/payment took 1320 ms,f4a11cb1-255c-401a-b409-5f77d54adbde,60 root,"[2026-07-29 20:54:25,033] 60 root - WARNING - Request POST /api/payment took 1320 ms",10,Request <*> <*> took <*> ms,2026-07-29 15:24:26
27,2026-07-29T20:54:27.034000,WARNING,Payment for Order 96672 failed,c56581d8-80dd-4223-b0d5-6d9b60ee7308,60 root,"[2026-07-29 20:54:27,034] 60 root - WARNING - Payment for Order 96672 failed",3,Payment for Order <*> <*>,2026-07-29 15:24:28
28,2026-07-29T20:54:29.035000,WARNING,Cache miss for key USER_697,908ed694-e90e-4edb-8124-6256d30eb1ae,60 root,"[2026-07-29 20:54:29,035] 60 root - WARNING - Cache miss for key USER_697",11,Cache miss for key USER_697,2026-07-29 15:24:30
29,2026-07-29T20:54:31.035000,ERROR,Connection from 192.168.1.103 accepted,4d37ebeb-09e6-41d8-aadc-20c3e5d0b470,60 root,"[2026-07-29 20:54:31,035] 60 root - ERROR - Connection from 192.168.1.103 accepted",5,Connection from <*> accepted,2026-07-29 15:24:32
30,2026-07-29T20:54:33.036000,WARNING,Database timeout after 55 seconds,fe2392d0-0b5b-4a85-b773-6fa3f63e1dc8,60 root,"[2026-07-29 20:54:33,036] 60 root - WARNING - Database timeout after 55 seconds",7,Database timeout after <*> seconds,2026-07-29 15:24:34
31,2026-07-29T20:54:35.037000,ERROR,Cache miss for key USER_211,e4e0123c-fc58-40ed-8534-a7c84d1f2436,60 root,"[2026-07-29 20:54:35,037] 60 root - ERROR - Cache miss for key USER_211",11,Cache miss for key <*>,2026-07-29 15:24:36
32,2026-07-29T20:54:37.038000,INFO,Worker 4 restarted,8fb1d841-c3fd-45c7-b051-9675e4c7c67d,60 root,"[2026-07-29 20:54:37,038] 60 root - INFO - Worker 4 restarted",2,Worker <*> restarted,2026-07-29 15:24:38
33,2026-07-29T20:54:39.039000,INFO,Request GET /api/orders took 306 ms,13936bcf-ac29-4e59-8793-2214a2db3987,60 root,"[2026-07-29 20:54:39,039] 60 root - INFO - Request GET /api/orders took 306 ms",10,Request <*> <*> took <*> ms,2026-07-29 15:24:40
34,2026-07-29T20:54:41.040000,ERROR,Payment for Order 23203 failed,25791b38-9374-4a4b-ac1b-33a40cd42bb4,60 root,"[2026-07-29 20:54:41,040] 60 root - ERROR - Payment for Order 23203 failed",3,Payment for Order <*> <*>,2026-07-29 15:24:42
35,2026-07-29T20:54:43.041000,ERROR,User 9568 logged out,5dcf5891-d90e-4ec0-bd13-60e7f9136b39,60 root,"[2026-07-29 20:54:43,041] 60 root - ERROR - User 9568 logged out",1,User <*> logged <*>,2026-07-29 15:24:44
36,2026-07-29T20:54:45.041000,ERROR,CPU usage reached 90%,9727bf8f-07ca-49bd-bc61-d8cdfbed56f8,60 root,"[2026-07-29 20:54:45,041] 60 root - ERROR - CPU usage reached 90%",9,CPU usage reached <*>,2026-07-29 15:24:46
37,2026-07-29T20:54:47.042000,ERROR,Worker 4 restarted,c2ca0b48-3b9b-4a79-865e-96af1832e8e9,60 root,"[2026-07-29 20:54:47,042] 60 root - ERROR - Worker 4 restarted",2,Worker <*> restarted,2026-07-29 15:24:48
38,2026-07-29T20:54:49.043000,ERROR,User 3636 logged out,51e05f0d-6f93-4274-8479-7b7a64bcc7f4,60 root,"[2026-07-29 20:54:49,043] 60 root - ERROR - User 3636 logged out",1,User <*> logged <*>,2026-07-29 15:24:50
39,2026-07-29T20:54:51.044000,ERROR,Database timeout after 49 seconds,ab731d38-a0b4-421c-83c2-41faacddb4ee,60 root,"[2026-07-29 20:54:51,044] 60 root - ERROR - Database timeout after 49 seconds",7,Database timeout after <*> seconds,2026-07-29 15:24:52
40,2026-07-29T20:54:53.045000,ERROR,CPU usage reached 71%,ea9ec802-44c3-4087-938c-273601adbb25,60 root,"[2026-07-29 20:54:53,045] 60 root - ERROR - CPU usage reached 71%",9,CPU usage reached <*>,2026-07-29 15:24:55
41,2026-07-29T20:54:55.046000,WARNING,Connection from 192.168.1.79 accepted,b8161c1c-b31a-4d38-9848-cdcd0bfc2c8c,60 root,"[2026-07-29 20:54:55,046] 60 root - WARNING - Connection from 192.168.1.79 accepted",5,Connection from <*> accepted,2026-07-29 15:24:57
42,2026-07-29T20:54:57.047000,INFO,Request GET /api/orders took 271 ms,c8ef2612-bb27-4d81-8b2d-778c9c938c61,60 root,"[2026-07-29 20:54:57,047] 60 root - INFO - Request GET /api/orders took 271 ms",10,Request <*> <*> took <*> ms,2026-07-29 15:24:57
43,2026-07-29T20:54:59.075000,WARNING,Memory usage reached 86%,d15a72c7-6a7c-45f9-a574-85e12b0e047d,60 root,"[2026-07-29 20:54:59,075] 60 root - WARNING - Memory usage reached 86%",6,Memory usage reached <*>,2026-07-29 15:24:59
44,2026-07-29T20:55:01.076000,ERROR,Database timeout after 49 seconds,10a17020-abf3-47a3-a904-343078a08c91,60 root,"[2026-07-29 20:55:01,076] 60 root - ERROR - Database timeout after 49 seconds",7,Database timeout after <*> seconds,2026-07-29 15:25:01
45,2026-07-29T20:55:03.076000,INFO,User 3082 logged out,206094b0-9f85-448c-9904-b7f9a93451d9,60 root,"[2026-07-29 20:55:03,076] 60 root - INFO - User 3082 logged out",1,User <*> logged <*>,2026-07-29 15:25:03
46,2026-07-29T20:55:05.077000,ERROR,File report_200.pdf uploaded,614e5544-41af-43c8-981b-4d8a55610a56,60 root,"[2026-07-29 20:55:05,077] 60 root - ERROR - File report_200.pdf uploaded",8,File <*> uploaded,2026-07-29 15:25:05
47,2026-07-29T20:55:07.078000,WARNING,Payment for Order 16801 completed,d9abf797-03ee-4c7b-a06d-547945636074,60 root,"[2026-07-29 20:55:07,078] 60 root - WARNING - Payment for Order 16801 completed",3,Payment for Order <*> <*>,2026-07-29 15:25:07
48,2026-07-29T20:55:09.079000,WARNING,CPU usage reached 91%,4a53f50e-eec5-4d3a-bcb9-14c159459aa5,60 root,"[2026-07-29 20:55:09,079] 60 root - WARNING - CPU usage reached 91%",9,CPU usage reached <*>,2026-07-29 15:25:09
49,2026-07-29T20:55:11.080000,ERROR,User 6037 logged out,d9b2a4ce-4ea8-4002-97aa-d2979e6b9836,60 root,"[2026-07-29 20:55:11,080] 60 root - ERROR - User 6037 logged out",1,User <*> logged <*>,2026-07-29 15:25:11
50,2026-07-29T20:55:13.081000,WARNING,Connection from 192.168.1.114 accepted,0882ddf7-24a9-4038-80fa-8bac211bb2e7,60 root,"[2026-07-29 20:55:13,081] 60 root - WARNING - Connection from 192.168.1.114 accepted",5,Connection from <*> accepted,2026-07-29 15:25:13
51,2026-07-29T20:55:15.081000,WARNING,Payment for Order 72510 failed,76fbb4f1-9cbc-4854-9130-f18d37baea5c,60 root,"[2026-07-29 20:55:15,081] 60 root - WARNING - Payment for Order 72510 failed",3,Payment for Order <*> <*>,2026-07-29 15:25:15
52,2026-07-29T20:55:17.082000,WARNING,Request GET /api/orders took 380 ms,e0bb4e79-a886-4bea-930c-0f3be96505cb,60 root,"[2026-07-29 20:55:17,082] 60 root - WARNING - Request GET /api/orders took 380 ms",10,Request <*> <*> took <*> ms,2026-07-29 15:25:17
53,2026-07-29T20:55:19.083000,WARNING,Memory usage reached 65%,1e5a33ed-51fa-4da7-8400-c9f27beddad3,60 root,"[2026-07-29 20:55:19,083] 60 root - WARNING - Memory usage reached 65%",6,Memory usage reached <*>,2026-07-29 15:25:19
54,2026-07-29T20:55:21.083000,WARNING,User 8797 logged out,9c97b1a2-ffed-4022-b292-7194a2e53ca0,60 root,"[2026-07-29 20:55:21,083] 60 root - WARNING - User 8797 logged out",1,User <*> logged <*>,2026-07-29 15:25:21
55,2026-07-29T20:55:23.084000,INFO,File report_369.pdf uploaded,f9519385-8538-40d8-a138-4df63f3508ed,60 root,"[2026-07-29 20:55:23,084] 60 root - INFO - File report_369.pdf uploaded",8,File <*> uploaded,2026-07-29 15:25:23
56,2026-07-29T20:55:25.084000,ERROR,Disk usage reached 83%,3b3bfa9e-f72d-4213-afa1-2b69ff5fee6c,60 root,"[2026-07-29 20:55:25,084] 60 root - ERROR - Disk usage reached 83%",12,Disk usage reached 83%,2026-07-29 15:25:25
